ID;clade;date;province;district;municipality;village;latitude;longitude;country;source;dataset;host;type;continent;year;identified_as_RABV;major_clade;minor_clade;closest_full_genome_reference_sequence;coverage_N;coverage_P;coverage_M;coverage_G;coverage_L;location;full_name
KM366277;Asian;2002-12-13;Phnom Penh;Mean Chey;Chbar Empao I;NA;11,087;105,683;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2002;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-PhnomPenh-MeanChey-ChbarEmpaoI;KM366277_Dog_2002-12-13_Cambodia-PhnomPenh-MeanChey-ChbarEmpaoI_11.087_105.683
KM366228;Asian;2008-07-04;Phnom Penh;Reussey Keo;Chroy Changva;2;11,576;104,936;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2008;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-PhnomPenh-ReusseyKeo-ChroyChangva-2;KM366228_Dog_2008-07-04_Cambodia-PhnomPenh-ReusseyKeo-ChroyChangva-2_11.576_104.936
KM366229;Asian;2011-05-20;Phnom Penh;Dangkor;Cham Chao;PHUM 4;11,539;104,824;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-PhnomPenh-Dangkor-ChamChao-Phum4;KM366229_Dog_2011-05-20_Cambodia-PhnomPenh-Dangkor-ChamChao-Phum4_11.539_104.824
KM366230;Asian;2011-08-02;Banteay Meanchey;Poipet;Poipet;PALELAY;13,649;102,57;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-BanteayMeanchey-Poipet-Poipet-Palelay;KM366230_Dog_2011-08-02_Cambodia-BanteayMeanchey-Poipet-Poipet-Palelay_13.649_102.57
KM366231;Asian;2008-08-21;Kg Speu;Thpong;Rong Roeurng;THMEY DONG TUNG;11,72;104,524;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2008;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KgSpeu-Thpong-RongRoeurng-ThmeyDongTung;KM366231_Dog_2008-08-21_Cambodia-KgSpeu-Thpong-RongRoeurng-ThmeyDongTung_11.72_104.524
KM366232;Asian;2003-12-02;Kampong Cham;Prey Chhor;Lvea;LVEA;11,999;105,019;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2003;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KampongCham-PreyChhor-Lvea-Lvea;KM366232_Dog_2003-12-02_Cambodia-KampongCham-PreyChhor-Lvea-Lvea_11.999_105.019
KM366233;Asian;2002-08-30;Kandal;Shang;Treuy Sla;PORLEU;11,352;105,021;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2002;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Kandal-Shang-TreuySla-Porleu;KM366233_Dog_2002-08-30_Cambodia-Kandal-Shang-TreuySla-Porleu_11.352_105.021
KM366234;Asian;1999-04-01;Kandal;Ksach Kandal;Prek Takov;PREK LOVEAR;11,603;104,956;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;1999;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Kandal-KsachKandal-PrekTakov-PrekLovear;KM366234_Dog_1999-04-01_Cambodia-Kandal-KsachKandal-PrekTakov-PrekLovear_11.603_104.956
KM366235;Asian;2009-02-06;Takeo;Prey Kabbas;Prey Phdao;CHHUM ROM;11,142;104,874;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2009;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Takeo-PreyKabbas-PreyPhdao-ChhumRom;KM366235_Dog_2009-02-06_Cambodia-Takeo-PreyKabbas-PreyPhdao-ChhumRom_11.142_104.874
KM366236;Asian;2008-07-17;Kandal;Ang Snuol;Makak;CHONG BOENG;11,644;104,714;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2008;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Kandal-AngSnuol-Makak-ChongBoeng;KM366236_Dog_2008-07-17_Cambodia-Kandal-AngSnuol-Makak-ChongBoeng_11.644_104.714
KM366237;Asian;2008-03-11;Koh Kong;Kapong Sila;Kampong Sila;KRAING AT;11,103;103,922;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2008;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KohKong-KapongSila-KampongSila-KraingAt;KM366237_Dog_2008-03-11_Cambodia-KohKong-KapongSila-KampongSila-KraingAt_11.103_103.922
KM366238;Asian;2009-02-23;Kg Cham;Srey Santhor;Reussey Srok;REUSSEY SROK;11,927;105,207;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2009;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KgCham-SreySanthor-ReusseySrok-ReusseySrok;KM366238_Dog_2009-02-23_Cambodia-KgCham-SreySanthor-ReusseySrok-ReusseySrok_11.927_105.207
KM366239;Asian;1999-01-07;Phnom Penh;Chamcar Morn;Olimpic;NA;11,568;104,933;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;1999;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-PhnomPenh-ChamcarMorn-Olimpic;KM366239_Dog_1999-01-07_Cambodia-PhnomPenh-ChamcarMorn-Olimpic_11.568_104.933
KM366240;Asian;2001-12-13;Kampong Chhnang;Samaki Mean Chey;Svay;PHSAR TRACH;11,815;104,674;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2001;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KampongChhnang-SamakiMeanChey-Svay-PhsarTrach;KM366240_Dog_2001-12-13_Cambodia-KampongChhnang-SamakiMeanChey-Svay-PhsarTrach_11.815_104.674
KM366241;Asian;1999-01-27;Kandal;Leuk Dek;Prek Talorp;KAMPONG CHAMLONG;11,256;105,278;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;1999;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Kandal-LeukDek-PrekTalorp-KampongChamlong;KM366241_Dog_1999-01-27_Cambodia-Kandal-LeukDek-PrekTalorp-KampongChamlong_11.256_105.278
KM366242;Asian;2001-09-20;Kampong Thom;Kampong Svay;Achar Leak;ACHAR LEAK;12,725;104,893;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2001;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KampongThom-KampongSvay-AcharLeak-AcharLeak;KM366242_Dog_2001-09-20_Cambodia-KampongThom-KampongSvay-AcharLeak-AcharLeak_12.725_104.893
KM366243;Asian;2007-03-26;Takeo;Samrorng;Rovieng;THMEY;11,196;104,788;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Takeo-Samrorng-Rovieng-Thmey;KM366243_Dog_2007-03-26_Cambodia-Takeo-Samrorng-Rovieng-Thmey_11.196_104.788
KM366245;Asian;2000-04-24;Kampong Speu;Kang Pisey;Angpopeal;SAMRONG REASMEI;11,354;104,72;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KampongSpeu-KangPisey-Angpopeal-SamrongReasmei;KM366245_Dog_2000-04-24_Cambodia-KampongSpeu-KangPisey-Angpopeal-SamrongReasmei_11.354_104.72
KM366246;Asian;2006-11-29;Koh Kong;Sre Ambil;Sre Ambil;SRE AMBIL;11,122;103,748;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2006;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KohKong-SreAmbil-SreAmbil-SreAmbil;KM366246_Dog_2006-11-29_Cambodia-KohKong-SreAmbil-SreAmbil-SreAmbil_11.122_103.748
KM366247;Asian;2002-04-11;Kampong Thom;Santuk;Kampong Thmar;KAMPONG THMAR;12,499;105,127;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2002;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KampongThom-Santuk-KampongThmar-KampongThmar;KM366247_Dog_2002-04-11_Cambodia-KampongThom-Santuk-KampongThmar-KampongThmar_12.499_105.127
KM366248;Asian;2006-04-27;Kandal;Sa Ang;Kraing Yov;SAMRONG;11,299;104,957;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2006;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Kandal-SaAng-KraingYov-Samrong;KM366248_Dog_2006-04-27_Cambodia-Kandal-SaAng-KraingYov-Samrong_11.299_104.957
KM366249;Asian;2005-07-04;Siem Reap;Siem Reap;Svay Dangkom;KRUOS;13,371;103,84;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2005;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-SiemReap-SiemReap-SvayDangkom-Kruos;KM366249_Dog_2005-07-04_Cambodia-SiemReap-SiemReap-SvayDangkom-Kruos_13.371_103.84
KM366250;Asian;2003-05-16;Kandal;Muk Kampoul;Rokar Korng 1;PEAM;11,85;105;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2003;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Kandal-MukKampoul-RokarKorng1-Peam;KM366250_Dog_2003-05-16_Cambodia-Kandal-MukKampoul-RokarKorng1-Peam_11.85_105
KM366251;Asian;1998-05-15;Kandal;Angnaul;Kambol;AMPIL;11,543;104,757;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;1998;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Kandal-Angnaul-Kambol-Ampil;KM366251_Dog_1998-05-15_Cambodia-Kandal-Angnaul-Kambol-Ampil_11.543_104.757
KM366252;Asian;1998-09-18;Phnom Penh;Tuol Kork;Psar Daum Kor;NA;11,553;104,906;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;1998;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-PhnomPenh-TuolKork-PsarDaumKor;KM366252_Dog_1998-09-18_Cambodia-PhnomPenh-TuolKork-PsarDaumKor_11.553_104.906
KM366253;Asian;2007-05-28;Prey Veng;Baphnom;Cheu Chach;TREA;11,26;105,424;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-PreyVeng-Baphnom-CheuChach-Trea;KM366253_Dog_2007-05-28_Cambodia-PreyVeng-Baphnom-CheuChach-Trea_11.26_105.424
KM366254;Asian;2009-07-16;Phnom Penh;Mean Chey;Boeng Tompun;SANSAMKOSAL;11,531;104,911;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2009;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-PhnomPenh-MeanChey-BoengTompun-Sansamkosal;KM366254_Dog_2009-07-16_Cambodia-PhnomPenh-MeanChey-BoengTompun-Sansamkosal_11.531_104.911
KM366255;Asian;2011-09-26;Kandal;Sa Arng;Prek Ombil;ANLONG TASEK LEU;11,184;105,021;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Kandal-SaArng-PrekOmbil-AnlongTasekLeu;KM366255_Dog_2011-09-26_Cambodia-Kandal-SaArng-PrekOmbil-AnlongTasekLeu_11.184_105.021
KM366256;Asian;2002-02-18;Kratie;Ang Snuol;Snuol;SNUOL;12,097;106,46;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2002;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Kratie-AngSnuol-Snuol-Snuol;KM366256_Dog_2002-02-18_Cambodia-Kratie-AngSnuol-Snuol-Snuol_12.097_106.46
KM366257;Asian;2006-10-08;Prey Veng;Mesang;Chhi Puch;TRORK;11,309;105,548;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2006;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-PreyVeng-Mesang-ChhiPuch-Trork;KM366257_Dog_2006-10-08_Cambodia-PreyVeng-Mesang-ChhiPuch-Trork_11.309_105.548
KM366258;Asian;2006-03-20;Kg Cham;Srey Santhor;Prek Rumdeng;SVAY TANUN KOR;11,9;105,257;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2006;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KgCham-SreySanthor-PrekRumdeng-SvayTanunKor;KM366258_Dog_2006-03-20_Cambodia-KgCham-SreySanthor-PrekRumdeng-SvayTanunKor_11.9_105.257
KM366259;Asian;2004-10-25;Phnom Penh;Chamkar Mon;Boeng Kengkang1;WILDAID ORGANIZATION;11,553;104,929;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2004;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-PhnomPenh-ChamkarMon-BoengKengkang1-WildaidOrganization;KM366259_Dog_2004-10-25_Cambodia-PhnomPenh-ChamkarMon-BoengKengkang1-WildaidOrganization_11.553_104.929
KM366260;Asian;2002-06-05;Kampot;Angkor Chey;Tani;REUSSEI;10,772;104,684;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2002;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Kampot-AngkorChey-Tani-Reussei;KM366260_Dog_2002-06-05_Cambodia-Kampot-AngkorChey-Tani-Reussei_10.772_104.684
KM366261;Asian;2005-10-11;Kratie;Chhloung;Han Chey;HAN CHEY 3;12,255;105,941;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2005;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Kratie-Chhloung-HanChey-HanChey3;KM366261_Dog_2005-10-11_Cambodia-Kratie-Chhloung-HanChey-HanChey3_12.255_105.941
KM366262;Asian;2009-02-10;Kandal;Kandal Stoeng;Spean Thmor;MEUN TRA;11,459;104,872;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2009;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Kandal-KandalStoeng-SpeanThmor-MeunTra;KM366262_Dog_2009-02-10_Cambodia-Kandal-KandalStoeng-SpeanThmor-MeunTra_11.459_104.872
KM366263;Asian;2011-12-23;Takeo;Bati;Dong;YUTHKA;11,234;104,908;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Takeo-Bati-Dong-Yuthka;KM366263_Dog_2011-12-23_Cambodia-Takeo-Bati-Dong-Yuthka_11.234_104.908
KM366264;Asian;2001-11-04;Prey Veng;Mesang;Chi Phoch;SAMRONG VEAL;11,36;105,559;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2001;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-PreyVeng-Mesang-ChiPhoch-SamrongVeal;KM366264_Dog_2001-11-04_Cambodia-PreyVeng-Mesang-ChiPhoch-SamrongVeal_11.36_105.559
