ID;type;date;continent;country;province;district;municipality;village;latitude;longitude;host;source;clade;full_name;ml_tree;discrete_phylo_tree;continuous_phylo_tree
KM366212;N gene;2008-06-14;Southeast Asia;Cambodia;Kandal;Khsach Kandal;Prek Ampil;PREK DAUNHEM;11,649;104,962;Dog;GenBank;Asian SEA3;KM366212_Dog_2008-06-14_Cambodia-Kandal-KhsachKandal-PrekAmpil-PrekDaunhem_11.649_104.962;yes;yes;n genes
KM366213;N gene;1998-03-12;Southeast Asia;Cambodia;Kampong Chhnang;Kampong Tralach;Lonvaek;ANLONG TNOUT;11,891;104,712;Dog;GenBank;Asian SEA3;KM366213_Dog_1998-03-12_Cambodia-KampongChhnang-KampongTralach-Lonvaek-AnlongTnout_11.891_104.712;yes;yes;n genes
KM366214;N gene;2003-06-16;Southeast Asia;Cambodia;Phnom Penh;Meanchey;Chbar Ampov Ii;NA;11,537;104,939;Dog;GenBank;Asian SEA3;KM366214_Dog_2003-06-16_Cambodia-PhnomPenh-Meanchey-ChbarAmpovIi_11.537_104.939;yes;yes;n genes
KM366215;N gene;2002-02-10;Southeast Asia;Cambodia;Takeo;Prey Kambass;Prek Pdov;SAYVAR;11,162;104,88;Dog;GenBank;Asian SEA3;KM366215_Dog_2002-02-10_Cambodia-Takeo-PreyKambass-PrekPdov-Sayvar_11.162_104.88;yes;yes;n genes
KM366216;N gene;2010-05-20;Southeast Asia;Cambodia;Kg Speu;Kong Pisey;Sdok;TRAPAINGLEUK;11,216;104,616;Dog;GenBank;Asian SEA3;KM366216_Dog_2010-05-20_Cambodia-KgSpeu-KongPisey-Sdok-Trapaingleuk_11.216_104.616;yes;yes;n genes
KM366217;N gene;2009-03-25;Southeast Asia;Cambodia;Koh Kong;Botumsakor;Angdong Toek;ANGDONG TOEK;11,191;103,478;Dog;GenBank;Asian SEA3;KM366217_Dog_2009-03-25_Cambodia-KohKong-Botumsakor-AngdongToek-AngdongToek_11.191_103.478;yes;yes;n genes
KM366218;N gene;2003-11-07;Southeast Asia;Cambodia;Kampong Speu;Samroung Tong;Vorsar;CHAMBOK;11,472;104,566;Dog;GenBank;Asian SEA3;KM366218_Dog_2003-11-07_Cambodia-KampongSpeu-SamroungTong-Vorsar-Chambok_11.472_104.566;yes;yes;n genes
KM366219;N gene;2004-07-16;Southeast Asia;Cambodia;Kg Speu;Phnom Sruoch;Treng Trayoeng;PHUM 3;11,273;104,213;Dog;GenBank;Asian SEA3;KM366219_Dog_2004-07-16_Cambodia-KgSpeu-PhnomSruoch-TrengTrayoeng-Phum3_11.273_104.213;yes;yes;n genes
KM366220;N gene;2011-11-04;Southeast Asia;Cambodia;Kg Cham;Choeung Prey;Sdoeung Chey;KDOY;12,195;105,107;Dog;GenBank;Asian SEA3;KM366220_Dog_2011-11-04_Cambodia-KgCham-ChoeungPrey-SdoeungChey-Kdoy_12.195_105.107;yes;yes;n genes
KM366221;N gene;2011-08-08;Southeast Asia;Cambodia;Kratie;Chhong;Prak Tamann;PREAK DACH;12,277;106,027;Dog;GenBank;Asian SEA3;KM366221_Dog_2011-08-08_Cambodia-Kratie-Chhong-PrakTamann-PreakDach_12.277_106.027;yes;yes;n genes
KM366222;N gene;2011-06-27;Southeast Asia;Cambodia;Kg Thom;Baray;Chrolorng;HANTHVEA;12,267;105,126;Dog;GenBank;Asian SEA3;KM366222_Dog_2011-06-27_Cambodia-KgThom-Baray-Chrolorng-Hanthvea_12.267_105.126;yes;yes;n genes
KM366223;N gene;2010-02-24;Southeast Asia;Cambodia;Kg Cham;Kang Meas;Sour Kong;PREK KRUOS;11,982;105,18;Dog;GenBank;Asian SEA3;KM366223_Dog_2010-02-24_Cambodia-KgCham-KangMeas-SourKong-PrekKruos_11.982_105.18;yes;yes;n genes
KM366244;N gene;2000-12-22;Southeast Asia;Cambodia;Takeo;Baty;Cham Bak;TANOP;11,091;104,436;Dog;GenBank;Asian SEA3;KM366244_Dog_2000-12-22_Cambodia-Takeo-Baty-ChamBak-Tanop_11.091_104.436;yes;yes;n genes
KM366224;N gene;2000-08-02;Southeast Asia;Cambodia;Takeo;Tram Kak;Trapaing Kragnog;KDOUCH;11,236;104,794;Dog;GenBank;Asian SEA3;KM366224_Dog_2000-08-02_Cambodia-Takeo-TramKak-TrapaingKragnog-Kdouch_11.236_104.794;yes;yes;n genes
KM366225;N gene;2011-10-18;Southeast Asia;Cambodia;Prey Veng;Ba Phnom;Cheu Kach;CHEU KACH;11,256;105,406;Dog;GenBank;Asian SEA3;KM366225_Dog_2011-10-18_Cambodia-PreyVeng-BaPhnom-CheuKach-CheuKach_11.256_105.406;yes;yes;n genes
KM366226;N gene;2001-03-24;Southeast Asia;Cambodia;Phnom Penh;Mean Chey;Niroude;TA NGOV;11,556;104,851;Dog;GenBank;Asian SEA3;KM366226_Dog_2001-03-24_Cambodia-PhnomPenh-MeanChey-Niroude-TaNgov_11.556_104.851;yes;yes;n genes
KM366227;N gene;2010-07-26;Southeast Asia;Cambodia;Svay Rieng;Svay Chrum;Tasok;BOENG ANDENG;11,528;104,939;Dog;GenBank;Asian SEA3;KM366227_Dog_2010-07-26_Cambodia-SvayRieng-SvayChrum-Tasok-BoengAndeng_11.528_104.939;yes;yes;n genes
KM366277;N gene;2002-12-13;Southeast Asia;Cambodia;Phnom Penh;Mean Chey;Chbar Empao I;NA;11,087;105,683;Dog;GenBank;Asian SEA3;KM366277_Dog_2002-12-13_Cambodia-PhnomPenh-MeanChey-ChbarEmpaoI_11.087_105.683;yes;yes;n genes
KM366228;N gene;2008-07-04;Southeast Asia;Cambodia;Phnom Penh;Reussey Keo;Chroy Changva;2;11,576;104,936;Dog;GenBank;Asian SEA3;KM366228_Dog_2008-07-04_Cambodia-PhnomPenh-ReusseyKeo-ChroyChangva-2_11.576_104.936;yes;yes;n genes
KM366229;N gene;2011-05-20;Southeast Asia;Cambodia;Phnom Penh;Dangkor;Cham Chao;PHUM 4;11,539;104,824;Dog;GenBank;Asian SEA3;KM366229_Dog_2011-05-20_Cambodia-PhnomPenh-Dangkor-ChamChao-Phum4_11.539_104.824;yes;yes;n genes
KM366230;N gene;2011-08-02;Southeast Asia;Cambodia;Banteay Meanchey;Poipet;Poipet;PALELAY;13,649;102,57;Dog;GenBank;Asian SEA3;KM366230_Dog_2011-08-02_Cambodia-BanteayMeanchey-Poipet-Poipet-Palelay_13.649_102.57;yes;yes;n genes
KM366231;N gene;2008-08-21;Southeast Asia;Cambodia;Kg Speu;Thpong;Rong Roeurng;THMEY DONG TUNG;11,72;104,524;Dog;GenBank;Asian SEA3;KM366231_Dog_2008-08-21_Cambodia-KgSpeu-Thpong-RongRoeurng-ThmeyDongTung_11.72_104.524;yes;yes;n genes
KM366232;N gene;2003-12-02;Southeast Asia;Cambodia;Kampong Cham;Prey Chhor;Lvea;LVEA;11,999;105,019;Dog;GenBank;Asian SEA3;KM366232_Dog_2003-12-02_Cambodia-KampongCham-PreyChhor-Lvea-Lvea_11.999_105.019;yes;yes;n genes
KM366233;N gene;2002-08-30;Southeast Asia;Cambodia;Kandal;Shang;Treuy Sla;PORLEU;11,352;105,021;Dog;GenBank;Asian SEA3;KM366233_Dog_2002-08-30_Cambodia-Kandal-Shang-TreuySla-Porleu_11.352_105.021;yes;yes;n genes
KM366234;N gene;1999-04-01;Southeast Asia;Cambodia;Kandal;Ksach Kandal;Prek Takov;PREK LOVEAR;11,603;104,956;Dog;GenBank;Asian SEA3;KM366234_Dog_1999-04-01_Cambodia-Kandal-KsachKandal-PrekTakov-PrekLovear_11.603_104.956;yes;yes;n genes
KM366235;N gene;2009-02-06;Southeast Asia;Cambodia;Takeo;Prey Kabbas;Prey Phdao;CHHUM ROM;11,142;104,874;Dog;GenBank;Asian SEA3;KM366235_Dog_2009-02-06_Cambodia-Takeo-PreyKabbas-PreyPhdao-ChhumRom_11.142_104.874;yes;yes;n genes
KM366236;N gene;2008-07-17;Southeast Asia;Cambodia;Kandal;Ang Snuol;Makak;CHONG BOENG;11,644;104,714;Dog;GenBank;Asian SEA3;KM366236_Dog_2008-07-17_Cambodia-Kandal-AngSnuol-Makak-ChongBoeng_11.644_104.714;yes;yes;n genes
KM366237;N gene;2008-03-11;Southeast Asia;Cambodia;Koh Kong;Kapong Sila;Kampong Sila;KRAING AT;11,103;103,922;Dog;GenBank;Asian SEA3;KM366237_Dog_2008-03-11_Cambodia-KohKong-KapongSila-KampongSila-KraingAt_11.103_103.922;yes;yes;n genes
KM366238;N gene;2009-02-23;Southeast Asia;Cambodia;Kg Cham;Srey Santhor;Reussey Srok;REUSSEY SROK;11,927;105,207;Dog;GenBank;Asian SEA3;KM366238_Dog_2009-02-23_Cambodia-KgCham-SreySanthor-ReusseySrok-ReusseySrok_11.927_105.207;yes;yes;n genes
KM366239;N gene;1999-01-07;Southeast Asia;Cambodia;Phnom Penh;Chamcar Morn;Olimpic;NA;11,568;104,933;Dog;GenBank;Asian SEA3;KM366239_Dog_1999-01-07_Cambodia-PhnomPenh-ChamcarMorn-Olimpic_11.568_104.933;yes;yes;n genes
KM366240;N gene;2001-12-13;Southeast Asia;Cambodia;Kampong Chhnang;Samaki Mean Chey;Svay;PHSAR TRACH;11,815;104,674;Dog;GenBank;Asian SEA3;KM366240_Dog_2001-12-13_Cambodia-KampongChhnang-SamakiMeanChey-Svay-PhsarTrach_11.815_104.674;yes;yes;n genes
KM366241;N gene;1999-01-27;Southeast Asia;Cambodia;Kandal;Leuk Dek;Prek Talorp;KAMPONG CHAMLONG;11,256;105,278;Dog;GenBank;Asian SEA3;KM366241_Dog_1999-01-27_Cambodia-Kandal-LeukDek-PrekTalorp-KampongChamlong_11.256_105.278;yes;yes;n genes
KM366242;N gene;2001-09-20;Southeast Asia;Cambodia;Kampong Thom;Kampong Svay;Achar Leak;ACHAR LEAK;12,725;104,893;Dog;GenBank;Asian SEA3;KM366242_Dog_2001-09-20_Cambodia-KampongThom-KampongSvay-AcharLeak-AcharLeak_12.725_104.893;yes;yes;n genes
KM366243;N gene;2007-03-26;Southeast Asia;Cambodia;Takeo;Samrorng;Rovieng;THMEY;11,196;104,788;Dog;GenBank;Asian SEA3;KM366243_Dog_2007-03-26_Cambodia-Takeo-Samrorng-Rovieng-Thmey_11.196_104.788;yes;yes;n genes
KM366245;N gene;2000-04-24;Southeast Asia;Cambodia;Kampong Speu;Kang Pisey;Angpopeal;SAMRONG REASMEI;11,354;104,72;Dog;GenBank;Asian SEA3;KM366245_Dog_2000-04-24_Cambodia-KampongSpeu-KangPisey-Angpopeal-SamrongReasmei_11.354_104.72;yes;yes;n genes
KM366246;N gene;2006-11-29;Southeast Asia;Cambodia;Koh Kong;Sre Ambil;Sre Ambil;SRE AMBIL;11,122;103,748;Dog;GenBank;Asian SEA3;KM366246_Dog_2006-11-29_Cambodia-KohKong-SreAmbil-SreAmbil-SreAmbil_11.122_103.748;yes;yes;n genes
KM366247;N gene;2002-04-11;Southeast Asia;Cambodia;Kampong Thom;Santuk;Kampong Thmar;KAMPONG THMAR;12,499;105,127;Dog;GenBank;Asian SEA3;KM366247_Dog_2002-04-11_Cambodia-KampongThom-Santuk-KampongThmar-KampongThmar_12.499_105.127;yes;yes;n genes
KM366248;N gene;2006-04-27;Southeast Asia;Cambodia;Kandal;Sa Ang;Kraing Yov;SAMRONG;11,299;104,957;Dog;GenBank;Asian SEA3;KM366248_Dog_2006-04-27_Cambodia-Kandal-SaAng-KraingYov-Samrong_11.299_104.957;yes;yes;n genes
KM366249;N gene;2005-07-04;Southeast Asia;Cambodia;Siem Reap;Siem Reap;Svay Dangkom;KRUOS;13,371;103,84;Dog;GenBank;Asian SEA3;KM366249_Dog_2005-07-04_Cambodia-SiemReap-SiemReap-SvayDangkom-Kruos_13.371_103.84;yes;yes;n genes
KM366250;N gene;2003-05-16;Southeast Asia;Cambodia;Kandal;Muk Kampoul;Rokar Korng 1;PEAM;11,85;105;Dog;GenBank;Asian SEA3;KM366250_Dog_2003-05-16_Cambodia-Kandal-MukKampoul-RokarKorng1-Peam_11.85_105;yes;yes;n genes
KM366251;N gene;1998-05-15;Southeast Asia;Cambodia;Kandal;Angnaul;Kambol;AMPIL;11,543;104,757;Dog;GenBank;Asian SEA3;KM366251_Dog_1998-05-15_Cambodia-Kandal-Angnaul-Kambol-Ampil_11.543_104.757;yes;yes;n genes
KM366252;N gene;1998-09-18;Southeast Asia;Cambodia;Phnom Penh;Tuol Kork;Psar Daum Kor;NA;11,553;104,906;Dog;GenBank;Asian SEA3;KM366252_Dog_1998-09-18_Cambodia-PhnomPenh-TuolKork-PsarDaumKor_11.553_104.906;yes;yes;n genes
KM366253;N gene;2007-05-28;Southeast Asia;Cambodia;Prey Veng;Baphnom;Cheu Chach;TREA;11,26;105,424;Dog;GenBank;Asian SEA3;KM366253_Dog_2007-05-28_Cambodia-PreyVeng-Baphnom-CheuChach-Trea_11.26_105.424;yes;yes;n genes
KM366254;N gene;2009-07-16;Southeast Asia;Cambodia;Phnom Penh;Mean Chey;Boeng Tompun;SANSAMKOSAL;11,531;104,911;Dog;GenBank;Asian SEA3;KM366254_Dog_2009-07-16_Cambodia-PhnomPenh-MeanChey-BoengTompun-Sansamkosal_11.531_104.911;yes;yes;n genes
KM366255;N gene;2011-09-26;Southeast Asia;Cambodia;Kandal;Sa Arng;Prek Ombil;ANLONG TASEK LEU;11,184;105,021;Dog;GenBank;Asian SEA3;KM366255_Dog_2011-09-26_Cambodia-Kandal-SaArng-PrekOmbil-AnlongTasekLeu_11.184_105.021;yes;yes;n genes
KM366256;N gene;2002-02-18;Southeast Asia;Cambodia;Kratie;Ang Snuol;Snuol;SNUOL;12,097;106,46;Dog;GenBank;Asian SEA3;KM366256_Dog_2002-02-18_Cambodia-Kratie-AngSnuol-Snuol-Snuol_12.097_106.46;yes;yes;n genes
KM366257;N gene;2006-10-08;Southeast Asia;Cambodia;Prey Veng;Mesang;Chhi Puch;TRORK;11,309;105,548;Dog;GenBank;Asian SEA3;KM366257_Dog_2006-10-08_Cambodia-PreyVeng-Mesang-ChhiPuch-Trork_11.309_105.548;yes;yes;n genes
KM366258;N gene;2006-03-20;Southeast Asia;Cambodia;Kg Cham;Srey Santhor;Prek Rumdeng;SVAY TANUN KOR;11,9;105,257;Dog;GenBank;Asian SEA3;KM366258_Dog_2006-03-20_Cambodia-KgCham-SreySanthor-PrekRumdeng-SvayTanunKor_11.9_105.257;yes;yes;n genes
KM366259;N gene;2004-10-25;Southeast Asia;Cambodia;Phnom Penh;Chamkar Mon;Boeng Kengkang1;WILDAID ORGANIZATION;11,553;104,929;Dog;GenBank;Asian SEA3;KM366259_Dog_2004-10-25_Cambodia-PhnomPenh-ChamkarMon-BoengKengkang1-WildaidOrganization_11.553_104.929;yes;yes;n genes
KM366260;N gene;2002-06-05;Southeast Asia;Cambodia;Kampot;Angkor Chey;Tani;REUSSEI;10,772;104,684;Dog;GenBank;Asian SEA3;KM366260_Dog_2002-06-05_Cambodia-Kampot-AngkorChey-Tani-Reussei_10.772_104.684;yes;yes;n genes
KM366261;N gene;2005-10-11;Southeast Asia;Cambodia;Kratie;Chhloung;Han Chey;HAN CHEY 3;12,255;105,941;Dog;GenBank;Asian SEA3;KM366261_Dog_2005-10-11_Cambodia-Kratie-Chhloung-HanChey-HanChey3_12.255_105.941;yes;yes;n genes
KM366262;N gene;2009-02-10;Southeast Asia;Cambodia;Kandal;Kandal Stoeng;Spean Thmor;MEUN TRA;11,459;104,872;Dog;GenBank;Asian SEA3;KM366262_Dog_2009-02-10_Cambodia-Kandal-KandalStoeng-SpeanThmor-MeunTra_11.459_104.872;yes;yes;n genes
KM366263;N gene;2011-12-23;Southeast Asia;Cambodia;Takeo;Bati;Dong;YUTHKA;11,234;104,908;Dog;GenBank;Asian SEA3;KM366263_Dog_2011-12-23_Cambodia-Takeo-Bati-Dong-Yuthka_11.234_104.908;yes;yes;n genes
KM366264;N gene;2001-11-04;Southeast Asia;Cambodia;Prey Veng;Mesang;Chi Phoch;SAMRONG VEAL;11,36;105,559;Dog;GenBank;Asian SEA3;KM366264_Dog_2001-11-04_Cambodia-PreyVeng-Mesang-ChiPhoch-SamrongVeal_11.36_105.559;yes;yes;n genes
KM366265;N gene;2000-02-08;Southeast Asia;Cambodia;Phnom Penh;Mean Chey;Steung Mean Chey;NA;11,527;104,892;Dog;GenBank;Asian SEA3;KM366265_Dog_2000-02-08_Cambodia-PhnomPenh-MeanChey-SteungMeanChey_11.527_104.892;yes;yes;n genes
KM366266;N gene;2010-12-30;Southeast Asia;Cambodia;Rattanakiri;Ban Long;Ta Veng;TA VENG;13,738;107,019;Dog;GenBank;Asian SEA3;KM366266_Dog_2010-12-30_Cambodia-Rattanakiri-BanLong-TaVeng-TaVeng_13.738_107.019;yes;yes;n genes
KM366267;N gene;2010-08-21;Southeast Asia;Cambodia;Phnom Penh;Dangkor;Chomchao;NA;11,527;104,846;Dog;GenBank;Asian SEA3;KM366267_Dog_2010-08-21_Cambodia-PhnomPenh-Dangkor-Chomchao_11.527_104.846;yes;yes;n genes
KM366268;N gene;2005-09-07;Southeast Asia;Cambodia;Phnom Penh;Mean Chey;Prek Pra;OU ANDAUNG1;11,492;104,952;Dog;GenBank;Asian SEA3;KM366268_Dog_2005-09-07_Cambodia-PhnomPenh-MeanChey-PrekPra-OuAndaung1_11.492_104.952;yes;yes;no
KM366269;N gene;1999-01-22;Southeast Asia;Cambodia;Kampot;Banteay Meas;Samrong Loeu;TRAM SAR SAR;10,728;104,597;Dog;GenBank;Asian SEA3;KM366269_Dog_1999-01-22_Cambodia-Kampot-BanteayMeas-SamrongLoeu-TramSarSar_10.728_104.597;yes;yes;n genes
KM366270;N gene;2003-11-10;Southeast Asia;Cambodia;Kampot;Angkor Chey;Tany;PRAL;10,783;104,665;Dog;GenBank;Asian SEA3;KM366270_Dog_2003-11-10_Cambodia-Kampot-AngkorChey-Tany-Pral_10.783_104.665;yes;yes;n genes
KM366271;N gene;2001-09-25;Southeast Asia;Cambodia;Siem Reap;Angloung Veng;Trapaing Prey;PRAMBEY RUOY;14,226;103,942;Dog;GenBank;Asian SEA3;KM366271_Dog_2001-09-25_Cambodia-SiemReap-AngloungVeng-TrapaingPrey-PrambeyRuoy_14.226_103.942;yes;yes;n genes
KM366272;N gene;2003-12-29;Southeast Asia;Cambodia;Kg Chhnang;Samaki Meanchey;Svay;PORITHIKRAI;11,833;104,718;Dog;GenBank;Asian SEA3;KM366272_Dog_2003-12-29_Cambodia-KgChhnang-SamakiMeanchey-Svay-Porithikrai_11.833_104.718;yes;yes;n genes
KM366273;N gene;2004-08-31;Southeast Asia;Cambodia;Kapot;Angkor Chey;Tany;BREAL;10,783;104,665;Dog;GenBank;Asian SEA3;KM366273_Dog_2004-08-31_Cambodia-Kapot-AngkorChey-Tany-Breal_10.783_104.665;yes;yes;n genes
KM366274;N gene;2008-04-08;Southeast Asia;Cambodia;Prey Veng;Baphnom;Beong Preah;ANGKROUNG;11,323;105,453;Dog;GenBank;Asian SEA3;KM366274_Dog_2008-04-08_Cambodia-PreyVeng-Baphnom-BeongPreah-Angkroung_11.323_105.453;yes;yes;n genes
KM366275;N gene;2000-09-06;Southeast Asia;Cambodia;Prey Veng;Baphnom;Choeungphnom;RONGDAMREY;11,257;105,386;Dog;GenBank;Asian SEA3;KM366275_Dog_2000-09-06_Cambodia-PreyVeng-Baphnom-Choeungphnom-Rongdamrey_11.257_105.386;yes;yes;n genes
KM366276;N gene;2006-09-14;Southeast Asia;Cambodia;Kapot;Chhouk;Krang Svay;DAMNAK TRAB KHANGCHOEURNG;10,862;104,478;Dog;GenBank;Asian SEA3;KM366276_Dog_2006-09-14_Cambodia-Kapot-Chhouk-KrangSvay-DamnakTrabKhangchoeurng_10.862_104.478;yes;yes;n genes
KM366278;N gene;2001-05-24;Southeast Asia;Cambodia;Kampong Speu;Samrong;Trapaing Kang;TRAPAING KHSANG;11,485;104,643;Dog;GenBank;Asian SEA3;KM366278_Dog_2001-05-24_Cambodia-KampongSpeu-Samrong-TrapaingKang-TrapaingKhsang_11.485_104.643;yes;yes;n genes
KM366279;N gene;2008-12-22;Southeast Asia;Cambodia;Takeo;Samrorng;Boeng Tranh Tboung;BOENG TRANH;11,088;104,749;Dog;GenBank;Asian SEA3;KM366279_Dog_2008-12-22_Cambodia-Takeo-Samrorng-BoengTranhTboung-BoengTranh_11.088_104.749;yes;yes;n genes
KM366280;N gene;2008-01-12;Southeast Asia;Cambodia;Pursat;Sampov Meas;Phteas Prey;PEAL NHEK 2;12,536;103,921;Dog;GenBank;Asian SEA3;KM366280_Dog_2008-01-12_Cambodia-Pursat-SampovMeas-PhteasPrey-PealNhek2_12.536_103.921;yes;yes;n genes
KM366281;N gene;2008-07-17;Southeast Asia;Cambodia;Kandal;Khsach Kandal;Svaychrom;BARACHANARAM;11,578;104,959;Dog;GenBank;Asian SEA3;KM366281_Dog_2008-07-17_Cambodia-Kandal-KhsachKandal-Svaychrom-Barachanaram_11.578_104.959;yes;yes;n genes
KM366282;N gene;2000-08-30;Southeast Asia;Cambodia;Kampong Cham;Kang Meas;Kchao;VAR RIN;11,903;105,135;Dog;GenBank;Asian SEA3;KM366282_Dog_2000-08-30_Cambodia-KampongCham-KangMeas-Kchao-VarRin_11.903_105.135;yes;yes;n genes
KM366283;N gene;2009-06-22;Southeast Asia;Cambodia;Battambang;Rukhakiri;Prek Chik;KAM RENG;13,045;102,507;Dog;GenBank;Asian SEA3;KM366283_Dog_2009-06-22_Cambodia-Battambang-Rukhakiri-PrekChik-KamReng_13.045_102.507;yes;yes;n genes
KM366284;N gene;2011-07-26;Southeast Asia;Cambodia;Kapot;Dangtung;Torteung;TOCH;10,712;104,526;Dog;GenBank;Asian SEA3;KM366284_Dog_2011-07-26_Cambodia-Kapot-Dangtung-Torteung-Toch_10.712_104.526;yes;yes;n genes
KM366285;N gene;1998-07-02;Southeast Asia;Cambodia;Kampong Cham;Srey Santhor;Prek Damboque;TAKOY;11,897;105,167;Dog;GenBank;Asian SEA3;KM366285_Dog_1998-07-02_Cambodia-KampongCham-SreySanthor-PrekDamboque-Takoy_11.897_105.167;yes;yes;n genes
KM366286;N gene;2011-11-14;Southeast Asia;Cambodia;Kg Speu;Borseth;Svay Rompea;TRAM SAR SAR;11,195;104,566;Dog;GenBank;Asian SEA3;KM366286_Dog_2011-11-14_Cambodia-KgSpeu-Borseth-SvayRompea-TramSarSar_11.195_104.566;yes;yes;n genes
KM366287;N gene;1998-09-12;Southeast Asia;Cambodia;Kampong Cham;Ta Bong Kahmom;Kor;KBAL O;11,957;105,719;Dog;GenBank;Asian SEA3;KM366287_Dog_1998-09-12_Cambodia-KampongCham-TaBongKahmom-Kor-KbalO_11.957_105.719;yes;yes;n genes
KM366288;N gene;2009-02-16;Southeast Asia;Cambodia;Kg Thom;Baray;Sralao;TUOL AMPIL;12,325;105,107;Dog;GenBank;Asian SEA3;KM366288_Dog_2009-02-16_Cambodia-KgThom-Baray-Sralao-TuolAmpil_12.325_105.107;yes;yes;n genes
KM366289;N gene;2007-02-08;Southeast Asia;Cambodia;Phnom Penh;Meanchey;Chbar Ampov2;NA;11,533;104,939;Dog;GenBank;Asian SEA3;KM366289_Dog_2007-02-08_Cambodia-PhnomPenh-Meanchey-ChbarAmpov2_11.533_104.939;yes;yes;n genes
KM366290;N gene;2001-12-26;Southeast Asia;Cambodia;Kampong Cham;Bateay;Bateay;SVAY POK;11,995;104,954;Dog;GenBank;Asian SEA3;KM366290_Dog_2001-12-26_Cambodia-KampongCham-Bateay-Bateay-SvayPok_11.995_104.954;yes;yes;n genes
KM366291;N gene;2003-12-22;Southeast Asia;Cambodia;Banteay Meanchey;Thmor Puok;Thmor Puok;THMOR PUOK;13,939;103,058;Dog;GenBank;Asian SEA3;KM366291_Dog_2003-12-22_Cambodia-BanteayMeanchey-ThmorPuok-ThmorPuok-ThmorPuok_13.939_103.058;yes;yes;n genes
KM366292;N gene;2006-05-01;Southeast Asia;Cambodia;Kg Thom;Baray;Svay Phloeung;SVAY PHLOEUNG;12,228;105,157;Dog;GenBank;Asian SEA3;KM366292_Dog_2006-05-01_Cambodia-KgThom-Baray-SvayPhloeung-SvayPhloeung_12.228_105.157;yes;yes;n genes
KM366293;N gene;2007-02-22;Southeast Asia;Cambodia;Banteay Meanchey;Pranet Preah;Toek Chor;TOEK CHOR;13,603;103,401;Dog;GenBank;Asian SEA3;KM366293_Dog_2007-02-22_Cambodia-BanteayMeanchey-PranetPreah-ToekChor-ToekChor_13.603_103.401;yes;yes;n genes
