ID;date;province;district;municipality;village;latitude;longitude;country;source;dataset;host;type;continent;year;location;full_name
KM366212;2008-06-14;Kandal;Khsach Kandal;Prek Ampil;PREK DAUNHEM;11.649;104.962;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2008;Cambodia-Kandal-KhsachKandal-PrekAmpil-PrekDaunhem;KM366212_Dog_2008-06-14_Cambodia-Kandal-KhsachKandal-PrekAmpil-PrekDaunhem_11.649_104.962
KM366213;1998-03-12;Kampong Chhnang;Kampong Tralach;Lonvaek;ANLONG TNOUT;11.891;104.712;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;1998;Cambodia-KampongChhnang-KampongTralach-Lonvaek-AnlongTnout;KM366213_Dog_1998-03-12_Cambodia-KampongChhnang-KampongTralach-Lonvaek-AnlongTnout_11.891_104.712
KM366214;2003-06-16;Phnom Penh;Meanchey;Chbar Ampov Ii;NA;11.537;104.939;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2003;Cambodia-PhnomPenh-Meanchey-ChbarAmpovIi;KM366214_Dog_2003-06-16_Cambodia-PhnomPenh-Meanchey-ChbarAmpovIi_11.537_104.939
KM366215;2002-02-10;Takeo;Prey Kambass;Prek Pdov;SAYVAR;11.162;104.88;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2002;Cambodia-Takeo-PreyKambass-PrekPdov-Sayvar;KM366215_Dog_2002-02-10_Cambodia-Takeo-PreyKambass-PrekPdov-Sayvar_11.162_104.88
KM366216;2010-05-20;Kg Speu;Kong Pisey;Sdok;TRAPAINGLEUK;11.216;104.616;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2010;Cambodia-KgSpeu-KongPisey-Sdok-Trapaingleuk;KM366216_Dog_2010-05-20_Cambodia-KgSpeu-KongPisey-Sdok-Trapaingleuk_11.216_104.616
KM366217;2009-03-25;Koh Kong;Botumsakor;Angdong Toek;ANGDONG TOEK;11.191;103.478;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2009;Cambodia-KohKong-Botumsakor-AngdongToek-AngdongToek;KM366217_Dog_2009-03-25_Cambodia-KohKong-Botumsakor-AngdongToek-AngdongToek_11.191_103.478
KM366218;2003-11-07;Kampong Speu;Samroung Tong;Vorsar;CHAMBOK;11.472;104.566;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2003;Cambodia-KampongSpeu-SamroungTong-Vorsar-Chambok;KM366218_Dog_2003-11-07_Cambodia-KampongSpeu-SamroungTong-Vorsar-Chambok_11.472_104.566
KM366219;2004-07-16;Kg Speu;Phnom Sruoch;Treng Trayoeng;PHUM 3;11.273;104.213;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2004;Cambodia-KgSpeu-PhnomSruoch-TrengTrayoeng-Phum3;KM366219_Dog_2004-07-16_Cambodia-KgSpeu-PhnomSruoch-TrengTrayoeng-Phum3_11.273_104.213
KM366220;2011-11-04;Kg Cham;Choeung Prey;Sdoeung Chey;KDOY;12.195;105.107;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2011;Cambodia-KgCham-ChoeungPrey-SdoeungChey-Kdoy;KM366220_Dog_2011-11-04_Cambodia-KgCham-ChoeungPrey-SdoeungChey-Kdoy_12.195_105.107
KM366221;2011-08-08;Kratie;Chhong;Prak Tamann;PREAK DACH;12.277;106.027;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2011;Cambodia-Kratie-Chhong-PrakTamann-PreakDach;KM366221_Dog_2011-08-08_Cambodia-Kratie-Chhong-PrakTamann-PreakDach_12.277_106.027
KM366222;2011-06-27;Kg Thom;Baray;Chrolorng;HANTHVEA;12.267;105.126;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2011;Cambodia-KgThom-Baray-Chrolorng-Hanthvea;KM366222_Dog_2011-06-27_Cambodia-KgThom-Baray-Chrolorng-Hanthvea_12.267_105.126
KM366223;2010-02-24;Kg Cham;Kang Meas;Sour Kong;PREK KRUOS;11.982;105.18;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2010;Cambodia-KgCham-KangMeas-SourKong-PrekKruos;KM366223_Dog_2010-02-24_Cambodia-KgCham-KangMeas-SourKong-PrekKruos_11.982_105.18
KM366244;2000-12-22;Takeo;Baty;Cham Bak;TANOP;11.091;104.436;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2000;Cambodia-Takeo-Baty-ChamBak-Tanop;KM366244_Dog_2000-12-22_Cambodia-Takeo-Baty-ChamBak-Tanop_11.091_104.436
KM366224;2000-08-02;Takeo;Tram Kak;Trapaing Kragnog;KDOUCH;11.236;104.794;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2000;Cambodia-Takeo-TramKak-TrapaingKragnog-Kdouch;KM366224_Dog_2000-08-02_Cambodia-Takeo-TramKak-TrapaingKragnog-Kdouch_11.236_104.794
KM366225;2011-10-18;Prey Veng;Ba Phnom;Cheu Kach;CHEU KACH;11.256;105.406;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2011;Cambodia-PreyVeng-BaPhnom-CheuKach-CheuKach;KM366225_Dog_2011-10-18_Cambodia-PreyVeng-BaPhnom-CheuKach-CheuKach_11.256_105.406
KM366226;2001-03-24;Phnom Penh;Mean Chey;Niroude;TA NGOV;11.556;104.851;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2001;Cambodia-PhnomPenh-MeanChey-Niroude-TaNgov;KM366226_Dog_2001-03-24_Cambodia-PhnomPenh-MeanChey-Niroude-TaNgov_11.556_104.851
KM366227;2010-07-26;Svay Rieng;Svay Chrum;Tasok;BOENG ANDENG;11.528;104.939;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2010;Cambodia-SvayRieng-SvayChrum-Tasok-BoengAndeng;KM366227_Dog_2010-07-26_Cambodia-SvayRieng-SvayChrum-Tasok-BoengAndeng_11.528_104.939
KM366277;2002-12-13;Phnom Penh;Mean Chey;Chbar Empao I;NA;11.087;105.683;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2002;Cambodia-PhnomPenh-MeanChey-ChbarEmpaoI;KM366277_Dog_2002-12-13_Cambodia-PhnomPenh-MeanChey-ChbarEmpaoI_11.087_105.683
KM366228;2008-07-04;Phnom Penh;Reussey Keo;Chroy Changva;2;11.576;104.936;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2008;Cambodia-PhnomPenh-ReusseyKeo-ChroyChangva-2;KM366228_Dog_2008-07-04_Cambodia-PhnomPenh-ReusseyKeo-ChroyChangva-2_11.576_104.936
KM366229;2011-05-20;Phnom Penh;Dangkor;Cham Chao;PHUM 4;11.539;104.824;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2011;Cambodia-PhnomPenh-Dangkor-ChamChao-Phum4;KM366229_Dog_2011-05-20_Cambodia-PhnomPenh-Dangkor-ChamChao-Phum4_11.539_104.824
KM366230;2011-08-02;Banteay Meanchey;Poipet;Poipet;PALELAY;13.649;102.57;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2011;Cambodia-BanteayMeanchey-Poipet-Poipet-Palelay;KM366230_Dog_2011-08-02_Cambodia-BanteayMeanchey-Poipet-Poipet-Palelay_13.649_102.57
KM366231;2008-08-21;Kg Speu;Thpong;Rong Roeurng;THMEY DONG TUNG;11.72;104.524;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2008;Cambodia-KgSpeu-Thpong-RongRoeurng-ThmeyDongTung;KM366231_Dog_2008-08-21_Cambodia-KgSpeu-Thpong-RongRoeurng-ThmeyDongTung_11.72_104.524
KM366232;2003-12-02;Kampong Cham;Prey Chhor;Lvea;LVEA;11.999;105.019;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2003;Cambodia-KampongCham-PreyChhor-Lvea-Lvea;KM366232_Dog_2003-12-02_Cambodia-KampongCham-PreyChhor-Lvea-Lvea_11.999_105.019
KM366233;2002-08-30;Kandal;Shang;Treuy Sla;PORLEU;11.352;105.021;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2002;Cambodia-Kandal-Shang-TreuySla-Porleu;KM366233_Dog_2002-08-30_Cambodia-Kandal-Shang-TreuySla-Porleu_11.352_105.021
KM366234;1999-04-01;Kandal;Ksach Kandal;Prek Takov;PREK LOVEAR;11.603;104.956;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;1999;Cambodia-Kandal-KsachKandal-PrekTakov-PrekLovear;KM366234_Dog_1999-04-01_Cambodia-Kandal-KsachKandal-PrekTakov-PrekLovear_11.603_104.956
KM366235;2009-02-06;Takeo;Prey Kabbas;Prey Phdao;CHHUM ROM;11.142;104.874;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2009;Cambodia-Takeo-PreyKabbas-PreyPhdao-ChhumRom;KM366235_Dog_2009-02-06_Cambodia-Takeo-PreyKabbas-PreyPhdao-ChhumRom_11.142_104.874
KM366236;2008-07-17;Kandal;Ang Snuol;Makak;CHONG BOENG;11.644;104.714;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2008;Cambodia-Kandal-AngSnuol-Makak-ChongBoeng;KM366236_Dog_2008-07-17_Cambodia-Kandal-AngSnuol-Makak-ChongBoeng_11.644_104.714
KM366237;2008-03-11;Koh Kong;Kapong Sila;Kampong Sila;KRAING AT;11.103;103.922;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2008;Cambodia-KohKong-KapongSila-KampongSila-KraingAt;KM366237_Dog_2008-03-11_Cambodia-KohKong-KapongSila-KampongSila-KraingAt_11.103_103.922
KM366238;2009-02-23;Kg Cham;Srey Santhor;Reussey Srok;REUSSEY SROK;11.927;105.207;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2009;Cambodia-KgCham-SreySanthor-ReusseySrok-ReusseySrok;KM366238_Dog_2009-02-23_Cambodia-KgCham-SreySanthor-ReusseySrok-ReusseySrok_11.927_105.207
KM366239;1999-01-07;Phnom Penh;Chamcar Morn;Olimpic;NA;11.568;104.933;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;1999;Cambodia-PhnomPenh-ChamcarMorn-Olimpic;KM366239_Dog_1999-01-07_Cambodia-PhnomPenh-ChamcarMorn-Olimpic_11.568_104.933
KM366240;2001-12-13;Kampong Chhnang;Samaki Mean Chey;Svay;PHSAR TRACH;11.815;104.674;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2001;Cambodia-KampongChhnang-SamakiMeanChey-Svay-PhsarTrach;KM366240_Dog_2001-12-13_Cambodia-KampongChhnang-SamakiMeanChey-Svay-PhsarTrach_11.815_104.674
KM366241;1999-01-27;Kandal;Leuk Dek;Prek Talorp;KAMPONG CHAMLONG;11.256;105.278;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;1999;Cambodia-Kandal-LeukDek-PrekTalorp-KampongChamlong;KM366241_Dog_1999-01-27_Cambodia-Kandal-LeukDek-PrekTalorp-KampongChamlong_11.256_105.278
KM366242;2001-09-20;Kampong Thom;Kampong Svay;Achar Leak;ACHAR LEAK;12.725;104.893;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2001;Cambodia-KampongThom-KampongSvay-AcharLeak-AcharLeak;KM366242_Dog_2001-09-20_Cambodia-KampongThom-KampongSvay-AcharLeak-AcharLeak_12.725_104.893
KM366243;2007-03-26;Takeo;Samrorng;Rovieng;THMEY;11.196;104.788;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2007;Cambodia-Takeo-Samrorng-Rovieng-Thmey;KM366243_Dog_2007-03-26_Cambodia-Takeo-Samrorng-Rovieng-Thmey_11.196_104.788
KM366245;2000-04-24;Kampong Speu;Kang Pisey;Angpopeal;SAMRONG REASMEI;11.354;104.72;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2000;Cambodia-KampongSpeu-KangPisey-Angpopeal-SamrongReasmei;KM366245_Dog_2000-04-24_Cambodia-KampongSpeu-KangPisey-Angpopeal-SamrongReasmei_11.354_104.72
KM366246;2006-11-29;Koh Kong;Sre Ambil;Sre Ambil;SRE AMBIL;11.122;103.748;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2006;Cambodia-KohKong-SreAmbil-SreAmbil-SreAmbil;KM366246_Dog_2006-11-29_Cambodia-KohKong-SreAmbil-SreAmbil-SreAmbil_11.122_103.748
KM366247;2002-04-11;Kampong Thom;Santuk;Kampong Thmar;KAMPONG THMAR;12.499;105.127;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2002;Cambodia-KampongThom-Santuk-KampongThmar-KampongThmar;KM366247_Dog_2002-04-11_Cambodia-KampongThom-Santuk-KampongThmar-KampongThmar_12.499_105.127
KM366248;2006-04-27;Kandal;Sa Ang;Kraing Yov;SAMRONG;11.299;104.957;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2006;Cambodia-Kandal-SaAng-KraingYov-Samrong;KM366248_Dog_2006-04-27_Cambodia-Kandal-SaAng-KraingYov-Samrong_11.299_104.957
KM366249;2005-07-04;Siem Reap;Siem Reap;Svay Dangkom;KRUOS;13.371;103.84;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2005;Cambodia-SiemReap-SiemReap-SvayDangkom-Kruos;KM366249_Dog_2005-07-04_Cambodia-SiemReap-SiemReap-SvayDangkom-Kruos_13.371_103.84
KM366250;2003-05-16;Kandal;Muk Kampoul;Rokar Korng 1;PEAM;11.85;105;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2003;Cambodia-Kandal-MukKampoul-RokarKorng1-Peam;KM366250_Dog_2003-05-16_Cambodia-Kandal-MukKampoul-RokarKorng1-Peam_11.85_105
KM366251;1998-05-15;Kandal;Angnaul;Kambol;AMPIL;11.543;104.757;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;1998;Cambodia-Kandal-Angnaul-Kambol-Ampil;KM366251_Dog_1998-05-15_Cambodia-Kandal-Angnaul-Kambol-Ampil_11.543_104.757
KM366252;1998-09-18;Phnom Penh;Tuol Kork;Psar Daum Kor;NA;11.553;104.906;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;1998;Cambodia-PhnomPenh-TuolKork-PsarDaumKor;KM366252_Dog_1998-09-18_Cambodia-PhnomPenh-TuolKork-PsarDaumKor_11.553_104.906
KM366253;2007-05-28;Prey Veng;Baphnom;Cheu Chach;TREA;11.26;105.424;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2007;Cambodia-PreyVeng-Baphnom-CheuChach-Trea;KM366253_Dog_2007-05-28_Cambodia-PreyVeng-Baphnom-CheuChach-Trea_11.26_105.424
KM366254;2009-07-16;Phnom Penh;Mean Chey;Boeng Tompun;SANSAMKOSAL;11.531;104.911;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2009;Cambodia-PhnomPenh-MeanChey-BoengTompun-Sansamkosal;KM366254_Dog_2009-07-16_Cambodia-PhnomPenh-MeanChey-BoengTompun-Sansamkosal_11.531_104.911
KM366255;2011-09-26;Kandal;Sa Arng;Prek Ombil;ANLONG TASEK LEU;11.184;105.021;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2011;Cambodia-Kandal-SaArng-PrekOmbil-AnlongTasekLeu;KM366255_Dog_2011-09-26_Cambodia-Kandal-SaArng-PrekOmbil-AnlongTasekLeu_11.184_105.021
KM366256;2002-02-18;Kratie;Ang Snuol;Snuol;SNUOL;12.097;106.46;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2002;Cambodia-Kratie-AngSnuol-Snuol-Snuol;KM366256_Dog_2002-02-18_Cambodia-Kratie-AngSnuol-Snuol-Snuol_12.097_106.46
KM366257;2006-10-08;Prey Veng;Mesang;Chhi Puch;TRORK;11.309;105.548;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2006;Cambodia-PreyVeng-Mesang-ChhiPuch-Trork;KM366257_Dog_2006-10-08_Cambodia-PreyVeng-Mesang-ChhiPuch-Trork_11.309_105.548
KM366258;2006-03-20;Kg Cham;Srey Santhor;Prek Rumdeng;SVAY TANUN KOR;11.9;105.257;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2006;Cambodia-KgCham-SreySanthor-PrekRumdeng-SvayTanunKor;KM366258_Dog_2006-03-20_Cambodia-KgCham-SreySanthor-PrekRumdeng-SvayTanunKor_11.9_105.257
KM366259;2004-10-25;Phnom Penh;Chamkar Mon;Boeng Kengkang1;WILDAID ORGANIZATION;11.553;104.929;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2004;Cambodia-PhnomPenh-ChamkarMon-BoengKengkang1-WildaidOrganization;KM366259_Dog_2004-10-25_Cambodia-PhnomPenh-ChamkarMon-BoengKengkang1-WildaidOrganization_11.553_104.929
KM366260;2002-06-05;Kampot;Angkor Chey;Tani;REUSSEI;10.772;104.684;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2002;Cambodia-Kampot-AngkorChey-Tani-Reussei;KM366260_Dog_2002-06-05_Cambodia-Kampot-AngkorChey-Tani-Reussei_10.772_104.684
KM366261;2005-10-11;Kratie;Chhloung;Han Chey;HAN CHEY 3;12.255;105.941;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2005;Cambodia-Kratie-Chhloung-HanChey-HanChey3;KM366261_Dog_2005-10-11_Cambodia-Kratie-Chhloung-HanChey-HanChey3_12.255_105.941
KM366262;2009-02-10;Kandal;Kandal Stoeng;Spean Thmor;MEUN TRA;11.459;104.872;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2009;Cambodia-Kandal-KandalStoeng-SpeanThmor-MeunTra;KM366262_Dog_2009-02-10_Cambodia-Kandal-KandalStoeng-SpeanThmor-MeunTra_11.459_104.872
KM366263;2011-12-23;Takeo;Bati;Dong;YUTHKA;11.234;104.908;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2011;Cambodia-Takeo-Bati-Dong-Yuthka;KM366263_Dog_2011-12-23_Cambodia-Takeo-Bati-Dong-Yuthka_11.234_104.908
KM366264;2001-11-04;Prey Veng;Mesang;Chi Phoch;SAMRONG VEAL;11.36;105.559;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2001;Cambodia-PreyVeng-Mesang-ChiPhoch-SamrongVeal;KM366264_Dog_2001-11-04_Cambodia-PreyVeng-Mesang-ChiPhoch-SamrongVeal_11.36_105.559
KM366265;2000-02-08;Phnom Penh;Mean Chey;Steung Mean Chey;NA;11.527;104.892;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2000;Cambodia-PhnomPenh-MeanChey-SteungMeanChey;KM366265_Dog_2000-02-08_Cambodia-PhnomPenh-MeanChey-SteungMeanChey_11.527_104.892
KM366266;2010-12-30;Rattanakiri;Ban Long;Ta Veng;TA VENG;13.738;107.019;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2010;Cambodia-Rattanakiri-BanLong-TaVeng-TaVeng;KM366266_Dog_2010-12-30_Cambodia-Rattanakiri-BanLong-TaVeng-TaVeng_13.738_107.019
KM366267;2010-08-21;Phnom Penh;Dangkor;Chomchao;NA;11.527;104.846;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2010;Cambodia-PhnomPenh-Dangkor-Chomchao;KM366267_Dog_2010-08-21_Cambodia-PhnomPenh-Dangkor-Chomchao_11.527_104.846
KM366268;2005-09-07;Phnom Penh;Mean Chey;Prek Pra;OU ANDAUNG1;11.492;104.952;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2005;Cambodia-PhnomPenh-MeanChey-PrekPra-OuAndaung1;KM366268_Dog_2005-09-07_Cambodia-PhnomPenh-MeanChey-PrekPra-OuAndaung1_11.492_104.952
KM366269;1999-01-22;Kampot;Banteay Meas;Samrong Loeu;TRAM SAR SAR;10.728;104.597;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;1999;Cambodia-Kampot-BanteayMeas-SamrongLoeu-TramSarSar;KM366269_Dog_1999-01-22_Cambodia-Kampot-BanteayMeas-SamrongLoeu-TramSarSar_10.728_104.597
KM366270;2003-11-10;Kampot;Angkor Chey;Tany;PRAL;10.783;104.665;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2003;Cambodia-Kampot-AngkorChey-Tany-Pral;KM366270_Dog_2003-11-10_Cambodia-Kampot-AngkorChey-Tany-Pral_10.783_104.665
KM366271;2001-09-25;Siem Reap;Angloung Veng;Trapaing Prey;PRAMBEY RUOY;14.226;103.942;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2001;Cambodia-SiemReap-AngloungVeng-TrapaingPrey-PrambeyRuoy;KM366271_Dog_2001-09-25_Cambodia-SiemReap-AngloungVeng-TrapaingPrey-PrambeyRuoy_14.226_103.942
KM366272;2003-12-29;Kg Chhnang;Samaki Meanchey;Svay;PORITHIKRAI;11.833;104.718;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2003;Cambodia-KgChhnang-SamakiMeanchey-Svay-Porithikrai;KM366272_Dog_2003-12-29_Cambodia-KgChhnang-SamakiMeanchey-Svay-Porithikrai_11.833_104.718
KM366273;2004-08-31;Kapot;Angkor Chey;Tany;BREAL;10.783;104.665;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2004;Cambodia-Kapot-AngkorChey-Tany-Breal;KM366273_Dog_2004-08-31_Cambodia-Kapot-AngkorChey-Tany-Breal_10.783_104.665
KM366274;2008-04-08;Prey Veng;Baphnom;Beong Preah;ANGKROUNG;11.323;105.453;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2008;Cambodia-PreyVeng-Baphnom-BeongPreah-Angkroung;KM366274_Dog_2008-04-08_Cambodia-PreyVeng-Baphnom-BeongPreah-Angkroung_11.323_105.453
KM366275;2000-09-06;Prey Veng;Baphnom;Choeungphnom;RONGDAMREY;11.257;105.386;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2000;Cambodia-PreyVeng-Baphnom-Choeungphnom-Rongdamrey;KM366275_Dog_2000-09-06_Cambodia-PreyVeng-Baphnom-Choeungphnom-Rongdamrey_11.257_105.386
KM366276;2006-09-14;Kapot;Chhouk;Krang Svay;DAMNAK TRAB KHANGCHOEURNG;10.862;104.478;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2006;Cambodia-Kapot-Chhouk-KrangSvay-DamnakTrabKhangchoeurng;KM366276_Dog_2006-09-14_Cambodia-Kapot-Chhouk-KrangSvay-DamnakTrabKhangchoeurng_10.862_104.478
